wavenumber,PU
800,0.0002510590
801,0.0002539190
802,0.0002571760
803,0.0002608700
804,0.0002649730
805,0.0002695870
806,0.0002745700
807,0.0002799180
808,0.0002856610
809,0.0002917300
810,0.0002979790
811,0.0003042290
812,0.0003102980
813,0.0003157770
814,0.0003203560
815,0.0003238030
816,0.0003258700
817,0.0003265410
818,0.0003258370
819,0.0003240830
820,0.0003216280
821,0.0003186450
822,0.0003153800
823,0.0003121120
824,0.0003090940
825,0.0003063170
826,0.0003039120
827,0.0003018260
828,0.0003000350
829,0.0002986570
830,0.0002977230
831,0.0002973670
832,0.0002975430
833,0.0002978870
834,0.0002982510
835,0.0002985720
836,0.0002986880
837,0.0002984240
838,0.0002978140
839,0.0002969350
840,0.0002960110
841,0.0002953970
842,0.0002953270
843,0.0002959900
844,0.0002973070
845,0.0002990050
846,0.0003009840
847,0.0003030420
848,0.0003047500
849,0.0003058590
850,0.0003063470
851,0.0003062740
852,0.0003056420
853,0.0003046940
854,0.0003035840
855,0.0003024920
856,0.0003014370
857,0.0003004310
858,0.0002994380
859,0.0002982910
860,0.0002966710
861,0.0002945210
862,0.0002918510
863,0.0002886230
864,0.0002847610
865,0.0002805730
866,0.0002762740
867,0.0002721260
868,0.0002682210
869,0.0002646870
870,0.0002615650
871,0.0002588920
872,0.0002565790
873,0.0002546490
874,0.0002530890
875,0.0002518630
876,0.0002509140
877,0.0002503890
878,0.0002501650
879,0.0002501400
880,0.0002501100
881,0.0002499330
882,0.0002494970
883,0.0002488460
884,0.0002479610
885,0.0002469630
886,0.0002460240
887,0.0002452910
888,0.0002448550
889,0.0002448010
890,0.0002449670
891,0.0002452930
892,0.0002456030
893,0.0002456880
894,0.0002455080
895,0.0002452220
896,0.0002448700
897,0.0002445060
898,0.0002441820
899,0.0002440300
900,0.0002441060
901,0.0002443410
902,0.0002446950
903,0.0002452440
904,0.0002460710
905,0.0002472760
906,0.0002491190
907,0.0002517910
908,0.0002552510
909,0.0002592410
910,0.0002635480
911,0.0002679820
912,0.0002720070
913,0.0002750510
914,0.0002769230
915,0.0002774970
916,0.0002768710
917,0.0002752350
918,0.0002729230
919,0.0002704090
920,0.0002681960
921,0.0002664950
922,0.0002656360
923,0.0002657070
924,0.0002665170
925,0.0002680110
926,0.0002702110
927,0.0002727500
928,0.0002753510
929,0.0002777530
930,0.0002798680
931,0.0002818520
932,0.0002837680
933,0.0002854300
934,0.0002869140
935,0.0002882920
936,0.0002898730
937,0.0002920020
938,0.0002947710
939,0.0002980290
940,0.0003017490
941,0.0003058020
942,0.0003101340
943,0.0003145990
944,0.0003188340
945,0.0003224440
946,0.0003253490
947,0.0003276680
948,0.0003298350
949,0.0003320570
950,0.0003344470
951,0.0003371130
952,0.0003400540
953,0.0003431040
954,0.0003461490
955,0.0003488420
956,0.0003507720
957,0.0003516280
958,0.0003513790
959,0.0003501870
960,0.0003483980
961,0.0003461620
962,0.0003437350
963,0.0003412700
964,0.0003389010
965,0.0003368210
966,0.0003352050
967,0.0003340130
968,0.0003331690
969,0.0003326700
970,0.0003326240
971,0.0003331200
972,0.0003341560
973,0.0003356810
974,0.0003376470
975,0.0003399140
976,0.0003425100
977,0.0003453740
978,0.0003483030
979,0.0003510750
980,0.0003534230
981,0.0003552120
982,0.0003563850
983,0.0003568370
984,0.0003565150
985,0.0003556640
986,0.0003544860
987,0.0003532370
988,0.0003521240
989,0.0003511150
990,0.0003502060
991,0.0003494260
992,0.0003486460
993,0.0003479030
994,0.0003472070
995,0.0003464990
996,0.0003459200
997,0.0003458880
998,0.0003467560
999,0.0003484780
1000,0.0003507620
1001,0.0003532390
1002,0.0003554460
1003,0.0003569390
1004,0.0003567110
1005,0.0003560510
1006,0.0003543530
1007,0.0003507720
1008,0.0003463770
1009,0.0003422760
1010,0.0003395840
1011,0.0003395840
1012,0.0003375410
1013,0.0003369500
1014,0.0003383770
1015,0.0003410770
1016,0.0003445760
1017,0.0003469670
1018,0.0003517290
