wavenumber,PS
800,0.0001850000
801,0.0001850000
802,0.0001840000
803,0.0001830000
804,0.0001820000
805,0.0001810000
806,0.0001800000
807,0.0001790000
808,0.0001780000
809,0.0001770000
810,0.0001770000
811,0.0001760000
812,0.0001750000
813,0.0001740000
814,0.0001740000
815,0.0001730000
816,0.0001720000
817,0.0001720000
818,0.0001710000
819,0.0001700000
820,0.0001680000
821,0.0001670000
822,0.0001660000
823,0.0001640000
824,0.0001630000
825,0.0001620000
826,0.0001610000
827,0.0001600000
828,0.0001590000
829,0.0001590000
830,0.0001590000
831,0.0001600000
832,0.0001600000
833,0.0001610000
834,0.0001620000
835,0.0001630000
836,0.0001650000
837,0.0001660000
838,0.0001660000
839,0.0001670000
840,0.0001670000
841,0.0001670000
842,0.0001670000
843,0.0001660000
844,0.0001660000
845,0.0001640000
846,0.0001630000
847,0.0001620000
848,0.0001610000
849,0.0001590000
850,0.0001580000
851,0.0001570000
852,0.0001570000
853,0.0001560000
854,0.0001560000
855,0.0001560000
856,0.0001560000
857,0.0001560000
858,0.0001570000
859,0.0001570000
860,0.0001580000
861,0.0001580000
862,0.0001580000
863,0.0001580000
864,0.0001580000
865,0.0001580000
866,0.0001580000
867,0.0001580000
868,0.0001580000
869,0.0001580000
870,0.0001570000
871,0.0001570000
872,0.0001570000
873,0.0001570000
874,0.0001570000
875,0.0001570000
876,0.0001570000
877,0.0001570000
878,0.0001570000
879,0.0001570000
880,0.0001570000
881,0.0001570000
882,0.0001570000
883,0.0001560000
884,0.0001560000
885,0.0001560000
886,0.0001550000
887,0.0001550000
888,0.0001550000
889,0.0001550000
890,0.0001560000
891,0.0001570000
892,0.0001590000
893,0.0001610000
894,0.0001640000
895,0.0001680000
896,0.0001720000
897,0.0001770000
898,0.0001830000
899,0.0001890000
900,0.0001950000
901,0.0002010000
902,0.0002060000
903,0.0002110000
904,0.0002150000
905,0.0002180000
906,0.0002190000
907,0.0002190000
908,0.0002180000
909,0.0002160000
910,0.0002130000
911,0.0002090000
912,0.0002040000
913,0.0001990000
914,0.0001940000
915,0.0001880000
916,0.0001830000
917,0.0001790000
918,0.0001750000
919,0.0001720000
920,0.0001690000
921,0.0001670000
922,0.0001660000
923,0.0001650000
924,0.0001650000
925,0.0001650000
926,0.0001650000
927,0.0001650000
928,0.0001660000
929,0.0001670000
930,0.0001680000
931,0.0001690000
932,0.0001700000
933,0.0001710000
934,0.0001720000
935,0.0001740000
936,0.0001750000
937,0.0001760000
938,0.0001780000
939,0.0001790000
940,0.0001800000
941,0.0001810000
942,0.0001820000
943,0.0001820000
944,0.0001830000
945,0.0001840000
946,0.0001840000
947,0.0001850000
948,0.0001850000
949,0.0001860000
950,0.0001860000
951,0.0001870000
952,0.0001880000
953,0.0001890000
954,0.0001900000
955,0.0001910000
956,0.0001930000
957,0.0001940000
958,0.0001960000
959,0.0001970000
960,0.0001990000
961,0.0002000000
962,0.0002010000
963,0.0002020000
964,0.0002030000
965,0.0002040000
966,0.0002040000
967,0.0002040000
968,0.0002040000
969,0.0002040000
970,0.0002030000
971,0.0002020000
972,0.0002020000
973,0.0002010000
974,0.0002000000
975,0.0002000000
976,0.0001990000
977,0.0001990000
978,0.0001990000
979,0.0001990000
980,0.0001990000
981,0.0001990000
982,0.0002000000
983,0.0002000000
984,0.0002010000
985,0.0002020000
986,0.0002030000
987,0.0002040000
988,0.0002050000
989,0.0002050000
990,0.0002060000
991,0.0002070000
992,0.0002090000
993,0.0002100000
994,0.0002120000
995,0.0002140000
996,0.0002160000
997,0.0002180000
998,0.0002200000
999,0.0002220000
1000,0.0002240000
1001,0.0002260000
1002,0.0002280000
1003,0.0002300000
1004,0.0002310000
1005,0.0002330000
1006,0.0002340000
1007,0.0002350000
1008,0.0002360000
1009,0.0002370000
1010,0.0002380000
1011,0.0002400000
1012,0.0002430000
1013,0.0002470000
1014,0.0002520000
1015,0.0002580000
1016,0.0002650000
1017,0.0002740000
1018,0.0002830000
1019,0.0002940000
1020,0.0003050000
1021,0.0003160000
1022,0.0003270000
1023,0.0003370000
1024,0.0003450000
1025,0.0003500000
1026,0.0003530000
1027,0.0003540000
1028,0.0003510000
1029,0.0003460000
1030,0.0003390000
1031,0.0003290000
1032,0.0003180000
1033,0.0003060000
1034,0.0002940000
1035,0.0002820000
1036,0.0002700000
1037,0.0002600000
1038,0.0002520000
1039,0.0002450000
1040,0.0002400000
1041,0.0002370000
1042,0.0002350000
1043,0.0002350000
1044,0.0002350000
1045,0.0002370000
1046,0.0002380000
1047,0.0002400000
1048,0.0002430000
1049,0.0002450000
1050,0.0002470000
1051,0.0002490000
1052,0.0002520000
1053,0.0002540000
1054,0.0002560000
1055,0.0002590000
1056,0.0002620000
1057,0.0002650000
1058,0.0002680000
1059,0.0002720000
1060,0.0002750000
1061,0.0002790000
1062,0.0002830000
1063,0.0002860000
1064,0.0002890000
1065,0.0002910000
1066,0.0002930000
1067,0.0002950000
1068,0.0002950000
1069,0.0002950000
1070,0.0002940000
1071,0.0002930000
1072,0.0002910000
1073,0.0002880000
1074,0.0002850000
1075,0.0002810000
1076,0.0002780000
1077,0.0002740000
1078,0.0002700000
