wavenumber,PP
800,0.0002949350
801,0.0002955530
802,0.0003081870
803,0.0003276930
804,0.0003480000
805,0.0003702840
806,0.0003851370
807,0.0003903060
808,0.0003856980
809,0.0003733560
810,0.0003572670
811,0.0003406600
812,0.0003257140
813,0.0003135530
814,0.0003038730
815,0.0002960870
816,0.0002895360
817,0.0002843950
818,0.0002802580
819,0.0002768360
820,0.0002742570
821,0.0002720500
822,0.0002691100
823,0.0002640660
824,0.0002558590
825,0.0002451070
826,0.0002326430
827,0.0002200650
828,0.0002092670
829,0.0002006680
830,0.0001939740
831,0.0001880980
832,0.0001833900
833,0.0001826240
834,0.0001892020
835,0.0002063260
836,0.0002346120
837,0.0002694960
838,0.0003025890
839,0.0003235590
840,0.0003259930
841,0.0003091420
842,0.0002779320
843,0.0002411010
844,0.0002074960
845,0.0001823270
846,0.0001666800
847,0.0001581100
848,0.0001539400
849,0.0001516980
850,0.0001501220
851,0.0001488880
852,0.0001480710
853,0.0001477990
854,0.0001481880
855,0.0001491380
856,0.0001504850
857,0.0001517410
858,0.0001525140
859,0.0001522910
860,0.0001507970
861,0.0001485600
862,0.0001461820
863,0.0001441580
864,0.0001427570
865,0.0001420880
866,0.0001422320
867,0.0001428530
868,0.0001435640
869,0.0001442800
870,0.0001444570
871,0.0001437350
872,0.0001421150
873,0.0001400980
874,0.0001382450
875,0.0001368870
876,0.0001361990
877,0.0001360620
878,0.0001358260
879,0.0001353190
880,0.0001346160
881,0.0001343140
882,0.0001348080
883,0.0001361770
884,0.0001386740
885,0.0001415410
886,0.0001440150
887,0.0001462050
888,0.0001485170
889,0.0001524140
890,0.0001600720
891,0.0001743590
892,0.0001987440
893,0.0002332300
894,0.0002756580
895,0.0003210050
896,0.0003609470
897,0.0003868110
898,0.0003918290
899,0.0003744280
900,0.0003385070
901,0.0002902880
902,0.0002388480
903,0.0001926750
904,0.0001567520
905,0.0001328780
906,0.0001195000
907,0.0001141900
908,0.0001137650
909,0.0001147500
910,0.0001152330
911,0.0001146480
912,0.0001129440
913,0.0001108390
914,0.0001088350
915,0.0001074860
916,0.0001070040
917,0.0001067860
918,0.0001063580
919,0.0001055570
920,0.0001044830
921,0.0001037400
922,0.0001038520
923,0.0001047660
924,0.0001064000
925,0.0001078830
926,0.0001085310
927,0.0001077280
928,0.0001057300
929,0.0001033150
930,0.0001014290
931,0.0001004020
932,0.0001006690
933,0.0001022560
934,0.0001050650
935,0.0001088050
936,0.0001135690
937,0.0001190320
938,0.0001246150
939,0.0001292240
940,0.0001319090
941,0.0001321210
942,0.0001298620
943,0.0001258220
944,0.0001210390
945,0.0001164270
946,0.0001126190
947,0.0001098690
948,0.0001078600
949,0.0001063900
950,0.0001055150
951,0.0001053650
952,0.0001058680
953,0.0001071060
954,0.0001090890
955,0.0001121890
956,0.0001161960
957,0.0001211410
958,0.0001274310
959,0.0001344130
960,0.0001415810
961,0.0001492420
962,0.0001596310
963,0.0001759220
964,0.0002004360
965,0.0002361000
966,0.0002857970
967,0.0003516070
968,0.0004314480
969,0.0005232470
970,0.0006293580
971,0.0007185660
972,0.0007920630
