wavenumber,EPDM
800,0.0003973240
801,0.0004003990
802,0.0004054390
803,0.0004104060
804,0.0004135880
805,0.0004153650
806,0.0004137320
807,0.0004089040
808,0.0004020830
809,0.0003945450
810,0.0003872480
811,0.0003796330
812,0.0003709480
813,0.0003605180
814,0.0003488140
815,0.0003367290
816,0.0003251110
817,0.0003145930
818,0.0003047770
819,0.0002946340
820,0.0002834930
821,0.0002712640
822,0.0002586500
823,0.0002459010
824,0.0002326330
825,0.0002185000
826,0.0002033070
827,0.0001874310
828,0.0001715690
829,0.0001570390
830,0.0001451000
831,0.0001361850
832,0.0001298300
833,0.0001252920
834,0.0001218950
835,0.0001190830
836,0.0001164060
837,0.0001138970
838,0.0001117910
839,0.0001104310
840,0.0001097110
841,0.0001094930
842,0.0001095730
843,0.0001095520
844,0.0001089780
845,0.0001075460
846,0.0001054190
847,0.0001030850
848,0.0001009560
849,0.0000997000
850,0.0000998000
851,0.0001013620
852,0.0001040160
853,0.0001072190
854,0.0001106190
855,0.0001137690
856,0.0001165820
857,0.0001192750
858,0.0001220850
859,0.0001248160
860,0.0001270880
861,0.0001286410
862,0.0001294060
863,0.0001291440
864,0.0001282470
865,0.0001270770
866,0.0001259840
867,0.0001249830
868,0.0001240270
869,0.0001232760
870,0.0001227720
871,0.0001221790
872,0.0001214200
873,0.0001200750
874,0.0001179310
875,0.0001149000
876,0.0001111650
877,0.0001072430
878,0.0001034820
879,0.0001000130
880,0.0000969000
881,0.0000939000
882,0.0000908000
883,0.0000875000
884,0.0000843000
885,0.0000813000
886,0.0000787000
887,0.0000766000
888,0.0000749000
889,0.0000738000
890,0.0000731000
891,0.0000727000
892,0.0000725000
893,0.0000722000
894,0.0000714000
895,0.0000701000
896,0.0000684000
897,0.0000667000
898,0.0000656000
899,0.0000653000
900,0.0000659000
901,0.0000672000
902,0.0000687000
903,0.0000701000
904,0.0000713000
905,0.0000725000
906,0.0000739000
907,0.0000755000
908,0.0000772000
909,0.0000785000
910,0.0000791000
911,0.0000791000
912,0.0000786000
913,0.0000780000
914,0.0000775000
915,0.0000774000
916,0.0000776000
917,0.0000780000
918,0.0000783000
919,0.0000786000
920,0.0000790000
921,0.0000793000
922,0.0000795000
923,0.0000797000
924,0.0000797000
925,0.0000794000
926,0.0000787000
927,0.0000779000
928,0.0000771000
929,0.0000763000
930,0.0000757000
931,0.0000753000
932,0.0000750000
933,0.0000749000
934,0.0000747000
935,0.0000744000
936,0.0000738000
937,0.0000727000
938,0.0000713000
939,0.0000699000
940,0.0000686000
941,0.0000677000
942,0.0000672000
943,0.0000672000
944,0.0000674000
945,0.0000676000
946,0.0000676000
947,0.0000675000
948,0.0000671000
949,0.0000670000
950,0.0000673000
951,0.0000682000
952,0.0000695000
953,0.0000708000
954,0.0000719000
955,0.0000724000
956,0.0000724000
957,0.0000720000
958,0.0000719000
959,0.0000721000
960,0.0000729000
961,0.0000743000
962,0.0000759000
963,0.0000773000
964,0.0000786000
965,0.0000798000
966,0.0000812000
967,0.0000831000
968,0.0000858000
969,0.0000892000
970,0.0000932000
971,0.0000975000
972,0.0001017330
973,0.0001057570
974,0.0001093220
975,0.0001121080
976,0.0001140670
977,0.0001155470
978,0.0001168640
979,0.0001193920
980,0.0001238670
981,0.0001238670
982,0.0001313370
983,0.0001413270
984,0.0001511490
985,0.0001637020
986,0.0001727490
987,0.0001793100
988,0.0001843970
989,0.0001892650
